,Name,Gender,Age,Nationality,Years_Active,Genre_Niche,Beauty_Level,Skills,Education,Award_Wins,Media_Mentions,Social_Media_Followers,Social_Media_Likes,Network_Size,MBTI_Personality,Income_Per_Year,First_Name,Last_Name,Genre_Niche_1,Genre_Niche_2,Skill_1,Skill_2,Skill_3
0,Ava Johnson,Female,32,American,7,Lifestyle,8,"Fashion, Photography, Public Speaking",Bachelor's Degree in Marketing,3.0,500.0,1000000.0,50000.0,5.0,ENFJ,200000,Ava, Johnson,Lifestyle,,Fashion, Photography, Public Speaking
1,Jackson Lee,Male,28,British,5,Fitness,7,"Personal Training, Nutrition, Motivational Speaking",High School Diploma,2.0,300.0,800000.0,40000.0,4.0,ISTP,150000,Jackson, Lee,Fitness,,Personal Training, Nutrition, Motivational Speaking
2,Sophie Garcia,Female,35,Spanish,8,Beauty & Makeup,9,"Makeup Artistry, Skincare, Content Creation",Master's Degree in Cosmetology,5.0,600.0,1200000.0,70000.0,6.0,INFJ,300000,Sophie, Garcia,Beauty & Makeup,,Makeup Artistry, Skincare, Content Creation
3,Ryan Patel,Male,30,Indian,6,Food & Cooking,6,"Culinary Skills, Recipe Development, Food Photography",Culinary School,3.0,400.0,900000.0,45000.0,5.0,ESTP,180000,Ryan, Patel,Food & Cooking,,Culinary Skills, Recipe Development, Food Photography
4,Emma Chen,Female,25,Chinese,4,Travel & Adventure,7,"Photography, Writing, Adventure Sports",Bachelor's Degree in Journalism,2.0,250.0,600000.0,35000.0,4.0,ENFP,120000,Emma, Chen,Travel & Adventure,,Photography, Writing, Adventure Sports
5,Maximilian Schmidt,Male,40,German,10,Technology,7,"Programming, Web Development, Digital Marketing",Bachelor's Degree in Computer Science,4.0,700.0,1500000.0,80000.0,6.0,INTJ,400000,Maximilian, Schmidt,Technology,,Programming, Web Development, Digital Marketing
6,Luna Rodriguez,Female,29,Brazilian,6,Fashion & Beauty,8,"Fashion Design, Styling, Modeling",Bachelor's Degree in Fashion Design,3.0,350.0,750000.0,50000.0,5.0,ISFP,180000,Luna, Rodriguez,Fashion & Beauty,,Fashion Design, Styling, Modeling
7,Ethan Nguyen,Male,27,Vietnamese,4,Gaming & Esports,8,"Gaming Skills, Strategy, Content Creation",Bachelor's Degree in Computer Science,2.0,200.0,500000.0,25000.0,4.0,INTP,150000,Ethan, Nguyen,Gaming & Esports,,Gaming Skills, Strategy, Content Creation
8,Isabella Rossi,Female,33,Italian,5,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Master's Degree in Holistic Nutrition,3.0,400.0,800000.0,45000.0,5.0,ENFP,200000,Isabella, Rossi,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
9,Nadia Khan,Female,38,Pakistani,9,Parenting & Family,6,"Parenting Tips, Child Psychology, Cooking",Bachelor's Degree in Early Childhood Education,4.0,550.0,1000000.0,60000.0,5.0,ISFJ,250000,Nadia, Khan,Parenting & Family,,Parenting Tips, Child Psychology, Cooking
10,Olivia Smith,Female,27,Canadian,6,Fashion & Lifestyle,7,"Styling, Fashion Design, Blogging",Bachelor's Degree in Fashion Merchandising,2.0,400.0,850000.0,45000.0,4.0,ENFP,180000,Olivia, Smith,Fashion & Lifestyle,,Styling, Fashion Design, Blogging
11,Daniel Kim,Male,31,Korean,8,Music,9,"Songwriting, Singing, Guitar",Bachelor's Degree in Music Production,3.0,550.0,1200000.0,70000.0,5.0,INFP,250000,Daniel, Kim,Music,,Songwriting, Singing, Guitar
12,Maya Gupta,Female,29,Indian,7,Fitness & Wellness,8,"Yoga, Nutrition, Personal Training",Master's Degree in Sports Science,4.0,600.0,900000.0,55000.0,5.0,ISFJ,200000,Maya, Gupta,Fitness & Wellness,,Yoga, Nutrition, Personal Training
13,Ethan Walker,Male,35,Australian,9,Photography & Travel,7,"Photography, Videography, Drone Operation",Self-Taught,5.0,700.0,1500000.0,80000.0,6.0,ISTJ,300000,Ethan, Walker,Photography & Travel,,Photography, Videography, Drone Operation
14,Lily Chen,Female,26,Chinese,4,Beauty & Fashion,9,"Makeup Artistry, Fashion Styling, Content Creation",Bachelor's Degree in Fashion Design,2.0,350.0,750000.0,40000.0,4.0,ESFP,150000,Lily, Chen,Beauty & Fashion,,Makeup Artistry, Fashion Styling, Content Creation
15,Marcus Johnson,Male,33,American,5,Comedy,6,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,2.0,300.0,700000.0,35000.0,4.0,ESTJ,150000,Marcus, Johnson,Comedy,,Stand-up Comedy, Improvisation, Writing
16,Sophia Lee,Female,30,British,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3.0,450.0,1000000.0,60000.0,5.0,ESFJ,220000,Sophia, Lee,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
17,David Santos,Male,29,Brazilian,7,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2.0,400.0,800000.0,40000.0,4.0,ENTP,180000,David, Santos,Travel & Adventure,,Travel Photography, Blogging, Adventure Sports
18,Amelia Wright,Female,32,American,8,Parenting & Family,6,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3.0,500.0,1100000.0,65000.0,5.0,INFJ,230000,Amelia, Wright,Parenting & Family,,Parenting Tips, Child Psychology, Family Vlogging
19,Oscar Martinez,Male,36,Spanish,9,Fashion & Lifestyle,8,"Fashion Styling, Modeling, Fashion Photography",Bachelor's Degree in Fashion Design,4.0,600.0,1200000.0,70000.0,5.0,ENTJ,280000,Oscar, Martinez,Fashion & Lifestyle,,Fashion Styling, Modeling, Fashion Photography
20,Grace Nguyen,Female,28,Vietnamese,5,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,3.0,450.0,900000.0,50000.0,4.0,ISTP,180000,Grace, Nguyen,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Blogging
21,Nathan Brown,Male,34,British,7,Technology,8,"Programming, Web Development, Artificial Intelligence",Master's Degree in Computer Science,3.0,550.0,1300000.0,75000.0,5.0,ENTP,280000,Nathan, Brown,Technology,,Programming, Web Development, Artificial Intelligence
22,Ella Rodriguez,Female,31,Mexican,6,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2.0,400.0,850000.0,45000.0,4.0,INFP,200000,Ella, Rodriguez,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
23,Dylan Park,Male,25,Korean,4,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,1.0,200.0,500000.0,25000.0,3.0,INTJ,120000,Dylan, Park,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
24,Isabel Silva,Female,30,Portuguese,8,Fashion & Beauty,9,"Fashion Design, Makeup Artistry, Beauty Vlogging",Master's Degree in Fashion Marketing,4.0,600.0,1100000.0,60000.0,5.0,ESTJ,250000,Isabel, Silva,Fashion & Beauty,,Fashion Design, Makeup Artistry, Beauty Vlogging
25,Lucas Oliveira,Male,37,Brazilian,10,Music,8,"Music Production, Songwriting, Singing",Bachelor's Degree in Music,5.0,700.0,1400000.0,80000.0,6.0,ISFP,320000,Lucas, Oliveira,Music,,Music Production, Songwriting, Singing
